descricao,tipo_linha,contad_ocai,ano_mes,previsto,realizado
Receita de vendas serviços,,,2025-01,,69424.62
Receita de vendas serviços,,,2025-02,,65029.33
Receita de vendas serviços,,,2025-03,,1440.0
Receita de vendas serviços,,,2025-05,,12835.5
Receita de vendas serviços,,,2025-08,,14387.0
receita de vendas peças e serv.,,,2025-03,,122046.63
receita de vendas peças e serv.,,,2025-05,,155447.69
receita de vendas peças e serv.,,,2025-06,,66469.9
receita de vendas peças e serv.,,,2025-07,,94755.76
receita de vendas peças e serv.,,,2025-08,,281383.5
receita de vendas peças e serv.,,,2025-09,,65050.0
Receita de peças,,,2025-01,,183063.8
Receita de peças,,,2025-02,,111733.23
Receita de peças,,,2025-03,,36307.0
Receita de peças,,,2025-05,,42295.5
Receita de peças,,,2025-06,,103981.0
Receita de peças,,,2025-07,,102871.0
Receita de peças,,,2025-08,,111224.45
Receita de peças,,,2025-09,,103963.0
venda peças-romaneio,,,2025-08,,53568.57
venda peças-romaneio,,,2025-09,,33267.5
mão de obra-romaneio,,,2025-08,,1800.0
mão de obra-romaneio,,,2025-09,,3088.0
peças e serv- romaneio,,,2025-03,,78325.2
peças e serv- romaneio,,,2025-05,,64305.5
peças e serv- romaneio,,,2025-06,,495332.3
peças e serv- romaneio,,,2025-07,,253646.0
peças e serv- romaneio,,,2025-08,,113808.0
peças e serv- romaneio,,,2025-09,,61071.5
retroativo,,,2025-07,,39675.0
retroativo,,,2025-08,,247761.65
Fornec diversos com nota,,,2025-02,,163012.49
Fornec diversos com nota,,,2025-03,,112371.23
Fornec diversos com nota,,,2025-05,,108109.1
Fornec diversos com nota,,,2025-06,,282407.95
Fornec diversos com nota,,,2025-07,,141027.37
Fornec diversos com nota,,,2025-08,,207321.94
Fornec diversos com nota,,,2025-09,,244438.79
fornecedor sem nota,,,2025-01,,60299.0
fornecedor sem nota,,,2025-02,,37700.0
fornecedor sem nota,,,2025-03,,43490.0
fornecedor sem nota,,,2025-05,,13026.0
fornecedor sem nota,,,2025-06,,44614.0
fornecedor sem nota,,,2025-07,,51099.0
fornecedor sem nota,,,2025-08,,43557.0
fornecedor sem nota,,,2025-09,,60718.1
ferramental oficina,,,2025-07,,2754.07
ferramental oficina,,,2025-08,,368.81
ferramental oficina,,,2025-09,,200.1
Uniforme,,,2025-05,,520.0
Uniforme,,,2025-06,,520.0
Fretes - fora da NF de Fornec.,,,2025-01,,1446.17
