descricao,contad_ocai,confidence,matched
Material de uso e consumo,,0.0,
Material de uso e consumo,,0.0,
Material de uso e consumo,,0.0,
Material de uso e consumo,,0.0,
Material de uso e consumo,,0.0,
Material de expediente,,0.0,
Material de expediente,,0.0,
Material de expediente,,0.0,
Material de expediente,,0.0,
Material de expediente,,0.0,
Material de expediente,,0.0,
Material de expediente,,0.0,
Despesas com viagens,,0.0,
Despesas com viagens,,0.0,
Despesas com viagens,,0.0,
Despesas com viagens,,0.0,
Despesas com viagens,,0.0,
Despesas com viagens,,0.0,
Despesas com viagens,,0.0,
Despesas com viagens,,0.0,
Consultoria,,0.0,
Consultoria,,0.0,
Consultoria,,0.0,
Consultoria,,0.0,
Consultoria,,0.0,
Consultoria,,0.0,
Consultoria,,0.0,
Consultoria,,0.0,
CDL Associação comercial,,0.0,
CDL Associação comercial,,0.0,
CDL Associação comercial,,0.0,
CDL Associação comercial,,0.0,
CDL Associação comercial,,0.0,
CDL Associação comercial,,0.0,
CDL Associação comercial,,0.0,
CDL Associação comercial,,0.0,
Telefone,,0.0,
Telefone,,0.0,
Telefone,,0.0,
Telefone,,0.0,
Telefone,,0.0,
Telefone,,0.0,
Telefone,,0.0,
Telefone,,0.0,
Internet,,0.0,
Internet,,0.0,
Internet,,0.0,
Internet,,0.0,
Internet,,0.0,
Internet,,0.0,
Internet,,0.0,
Internet,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Leandro,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Pró-labore Retirada - Sergio,,0.0,
Honorários contabeis,,0.0,
Honorários contabeis,,0.0,
Honorários contabeis,,0.0,
Honorários contabeis,,0.0,
Honorários contabeis,,0.0,
Honorários contabeis,,0.0,
Honorários contabeis,,0.0,
Honorários contabeis,,0.0,
Comunicação interna,,0.0,
Comunicação interna,,0.0,
Comunicação interna,,0.0,
Comunicação interna,,0.0,
Comunicação interna,,0.0,
Certificado digital,,0.0,
Certificado digital,,0.0,
Certificado digital,,0.0,
Certificado digital,,0.0,
Certificado digital,,0.0,
Certificado digital,,0.0,
Certificado digital,,0.0,
Serviço de Licença Software,,0.0,
Serviço de Licença Software,,0.0,
Serviço de Licença Software,,0.0,
Serviço de Licença Software,,0.0,
Serviço de Licença Software,,0.0,
Serviço de Licença Software,,0.0,
Serviço de Licença Software,,0.0,
Serviço de Licença Software,,0.0,
Seguro de vida - Colaboradores,,0.0,
Seguro de vida - Colaboradores,,0.0,
Seguro de vida - Colaboradores,,0.0,
Seguro de vida - Colaboradores,,0.0,
Seguro de vida - Colaboradores,,0.0,
Seguro de vida - Colaboradores,,0.0,
Seguro de vida - Colaboradores,,0.0,
Seguro de vida - Colaboradores,,0.0,
seguro carro RSV5E43,,0.0,
seguro carro RSV5E43,,0.0,
seguro carro RSV5E43,,0.0,
Desp Financeiras/bancos,,0.0,
Desp Financeiras/bancos,,0.0,
Desp Financeiras/bancos,,0.0,
Desp Financeiras/bancos,,0.0,
Desp Financeiras/bancos,,0.0,
Desp Financeiras/bancos,,0.0,
Desp Financeiras/bancos,,0.0,
Desp Financeiras/bancos,,0.0,
Desp liq boletos/cartão,,0.0,
Desp liq boletos/cartão,,0.0,
Desp liq boletos/cartão,,0.0,
Desp liq boletos/cartão,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Financiamento/emprestimo bco parc,,0.0,
Finan. Carro RSV5E43,,0.0,
Finan. Carro RSV5E43,,0.0,
juros FINAN RSV5E43,,0.0,
juros FINAN RSV5E43,,0.0,
IPVA txas diversas RSW1E87,,0.0,
IPVA e taxas diversas RSV5E43,,0.0,
FINAN. Carro RSW1E87,,0.0,
FINAN. Carro RSW1E87,,0.0,
FINAN. Carro RSW1E87,,0.0,
FINAN. Carro RSW1E87,,0.0,
FINAN. Carro RSW1E87,,0.0,
FINAN. Carro RSW1E87,,0.0,
FINAN. Carro RSW1E87,,0.0,
Combustivel,,0.0,
Combustivel,,0.0,
Combustivel,,0.0,
Combustivel,,0.0,
Impressos/Grafica,,0.0,
Impressos/Grafica,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Coleta Resíduos,,0.0,
Férias,,0.0,
Alvará,,0.0,
Alvará,,0.0,
Alvará,,0.0,
Alvará,,0.0,
Exames admissional/demissional,,0.0,
Engenheiro ambiental,,0.0,
Engenheiro ambiental,,0.0,
Engenheiro ambiental,,0.0,
Marketing/mídia digital,,0.0,
Marketing/mídia digital,,0.0,
Marketing/mídia digital,,0.0,
aquisição imobilizados,,0.0,
aquisição imobilizados,,0.0,
aquisição imobilizados,,0.0,
Manut de Informatica,,0.0,
Manut de Informatica,,0.0,
Manut de Informatica,,0.0,
Manut de Informatica,,0.0,
Manut de Informatica,,0.0,
Manut de Informatica,,0.0,
Manut de Informatica,,0.0,
Manut de Informatica,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção veículo,,0.0,
Manutenção Prédio Instalação,,0.0,
Manutenção Prédio Instalação,,0.0,
Manutenção Prédio Instalação,,0.0,
Manutenção Prédio Instalação,,0.0,
Manutenção Prédio Instalação,,0.0,
custos -garantia peças e serv,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO OPERACIONAL,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
RESULTADO LIQUIDO OPERC,,0.0,
Percentual Custo Fixo  %,,0.0,
Percentual Custo Fixo  %,,0.0,
Percentual Custo Fixo  %,,0.0,
Percentual Custo Fixo  %,,0.0,
Percentual Custo Fixo  %,,0.0,
Percentual Custo Fixo  %,,0.0,
Percentual Custo Fixo  %,,0.0,
Percentual Custo Fixo  %,,0.0,
Receita Total,,0.0,
Custo Variavel Fornecedor diversos,,0.0,
Lucro Bruto,,0.0,
Custo Fixo,,0.0,
Lucro operacional Liquido,,0.0,
,,0.0,
,,0.0,
,,0.0,
,,0.0,
,,0.0,
